,date,currency,currencyName,toCurrency,rate,valueUSD
0,2018-05-15,KPW,North Korean Won,USD,899.999867,0.0011111112753086662
1,2018-05-16,KPW,North Korean Won,USD,899.999658,0.0011111115333334938
2,2018-05-17,KPW,North Korean Won,USD,899.999769,0.0011111113962963695
3,2018-05-18,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
4,2018-05-19,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
5,2018-05-20,KPW,North Korean Won,USD,899.999721,0.0011111114555556623
6,2018-05-21,KPW,North Korean Won,USD,900.000072,0.0011111110222222292
7,2018-05-22,KPW,North Korean Won,USD,899.999577,0.0011111116333335786
8,2018-05-23,KPW,North Korean Won,USD,900.000316,0.0011111107209877914
9,2018-05-24,KPW,North Korean Won,USD,899.999784,0.001111111377777842
10,2018-05-25,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
11,2018-05-26,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
12,2018-05-27,KPW,North Korean Won,USD,900.000347,0.0011111106827162145
13,2018-05-28,KPW,North Korean Won,USD,900.000112,0.0011111109728395234
14,2018-05-29,KPW,North Korean Won,USD,899.999911,0.0011111112209876651
15,2018-05-30,KPW,North Korean Won,USD,900.000325,0.001111110709876688
16,2018-05-31,KPW,North Korean Won,USD,900.000429,0.0011111105814817339
17,2018-06-01,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
18,2018-06-02,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
19,2018-06-03,KPW,North Korean Won,USD,899.999864,0.001111111279012371
20,2018-06-04,KPW,North Korean Won,USD,899.999845,0.0011111113024691688
21,2018-06-05,KPW,North Korean Won,USD,900.000152,0.0011111109234568219
22,2018-06-06,KPW,North Korean Won,USD,899.999615,0.0011111115864199566
23,2018-06-07,KPW,North Korean Won,USD,900.000156,0.001111110918518552
24,2018-06-08,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
25,2018-06-09,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
26,2018-06-10,KPW,North Korean Won,USD,900.0,0.0011111111111111111
27,2018-06-11,KPW,North Korean Won,USD,900.000246,0.0011111108074074905
28,2018-06-12,KPW,North Korean Won,USD,899.999938,0.0011111111876543262
29,2018-06-13,KPW,North Korean Won,USD,899.999832,0.0011111113185185574
30,2018-06-14,KPW,North Korean Won,USD,900.000113,0.0011111109716049558
31,2018-06-15,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
32,2018-06-16,KPW,North Korean Won,USD,900.00035,0.0011111106790125138
33,2018-06-17,KPW,North Korean Won,USD,899.999772,0.0011111113925926638
34,2018-06-18,KPW,North Korean Won,USD,899.99968,0.00111111150617298
