,query,timestamp,quote,from,to,US_equiv
0,USDAED,1529957891,3.672599,USD,AED,0.27228673753927396
1,USDAFN,1529957891,72.199997,USD,AFN,0.013850416087967428
2,USDALL,1529957891,107.720001,USD,ALL,0.009283327058268408
3,USDAMD,1529957891,481.839996,USD,AMD,0.0020753777359735826
4,USDANG,1529957891,1.810244,USD,ANG,0.5524117190831733
5,USDAOA,1529957891,245.658005,USD,AOA,0.004070699833290594
6,USDARS,1529957891,27.079682,USD,ARS,0.03692805550670795
7,USDAUD,1529957891,1.349698,USD,AUD,0.740906484265369
8,USDAWG,1529957891,1.78,USD,AWG,0.5617977528089888
9,USDAZN,1529957891,1.699498,USD,AZN,0.588409047848247
10,USDBAM,1529957891,1.6738,USD,BAM,0.597442944198829
11,USDBBD,1529957891,2.0,USD,BBD,0.5
12,USDBDT,1529957891,83.989998,USD,BDT,0.011906179590574582
13,USDBGN,1529957891,1.671697,USD,BGN,0.598194529271752
14,USDBHD,1529957891,0.380501,USD,BHD,2.6281139865598253
15,USDBIF,1529957891,1750.97998,USD,BIF,0.0005711087570515797
16,USDBMD,1529957891,1.0,USD,BMD,1.0
17,USDBND,1529957891,1.3446,USD,BND,0.7437156031533542
18,USDBOB,1529957891,6.859482,USD,BOB,0.14578360290179346
19,USDBRL,1529957891,3.777101,USD,BRL,0.2647533121301231
20,USDBSD,1529957891,1.0,USD,BSD,1.0
21,USDBTC,1529957891,0.00016,USD,BTC,6249.999999999999
22,USDBTN,1529957891,67.800003,USD,BTN,0.014749261884250948
23,USDBWP,1529957891,10.325601,USD,BWP,0.09684666296906107
24,USDBYN,1529957891,1.999673,USD,BYN,0.5000817633683107
25,USDBYR,1529957891,19600.0,USD,BYR,5.102040816326531e-05
26,USDBZD,1529957891,1.997799,USD,BZD,0.500550856217267
27,USDCAD,1529957891,1.329797,USD,CAD,0.7519944773525584
28,USDCDF,1529957891,1565.525034,USD,CDF,0.0006387633402737397
29,USDCHF,1529957891,0.9874,USD,CHF,1.0127607859023697
30,USDCLF,1529957891,0.02328,USD,CLF,42.9553264604811
31,USDCLP,1529957891,638.609985,USD,CLP,0.0015659009778871526
32,USDCNY,1529957891,6.535898,USD,CNY,0.1530011637268513
33,USDCOP,1529957891,2917.800049,USD,COP,0.00034272396435894363
34,USDCRC,1529957891,564.750078,USD,CRC,0.0017706947532285244
35,USDCUC,1529957891,1.0,USD,CUC,1.0
36,USDCUP,1529957891,26.5,USD,CUP,0.03773584905660377
37,USDCVE,1529957891,94.239998,USD,CVE,0.010611205658132549
38,USDCZK,1529957891,22.132999,USD,CZK,0.045181405375746865
39,USDDJF,1529957891,177.499815,USD,DJF,0.005633808688758351
40,USDDKK,1529957891,6.36855,USD,DKK,0.15702161402517056
41,USDDOP,1529957891,49.560001,USD,DOP,0.020177562143309884
42,USDDZD,1529957891,117.175003,USD,DZD,0.008534243434156345
43,USDEGP,1529957891,17.839942,USD,EGP,0.05605399389751379
44,USDERN,1529957891,14.989357,USD,ERN,0.06671400247522292
45,USDETB,1529957891,27.219999,USD,ETB,0.036737694222545705
46,USDEUR,1529957891,0.854401,USD,EUR,1.1704106151561153
