Date,Open,High,Low,Close,Volume,Symbol,Source,Event
2018-05-15,46.51,46.99,46.27,46.79,7149600.0,BP,Yahoo!,Coordination
2018-05-15,46.51,46.9853,46.27,46.79,7149574.0,BP,IEX,Coordination
2018-05-15,249.48,249.58,246.25,247.34,1638200.0,FDX,Yahoo!,Coordination
2018-05-15,248.8226,248.9224,245.6011,246.6883,1638203.0,FDX,IEX,Coordination
2018-05-15,54.58,54.75,53.56,53.92,21712600.0,INTC,Yahoo!,Coordination
2018-05-15,54.58,54.75,53.56,53.92,21712649.0,INTC,IEX,Coordination
2018-05-15,97.24,97.85,96.34,97.32,24594000.0,MSFT,Yahoo!,Coordination
2018-05-15,96.8203,97.4277,95.9242,96.9,24594010.0,MSFT,IEX,Coordination
2018-05-15,46.51,46.82,46.25,46.81,11304900.0,ORCL,Yahoo!,Coordination
2018-05-15,46.51,46.82,46.25,46.81,11304873.0,ORCL,IEX,Coordination
2018-05-15,115.78,116.47,114.85,115.61,3480400.0,UPS,Yahoo!,Coordination
2018-05-15,114.8763,115.561,113.9536,114.7077,3480370.0,UPS,IEX,Coordination
2018-05-15,81.85,82.03,81.4,81.79,12595700.0,XOM,Yahoo!,Coordination
2018-05-15,81.85,82.03,81.4,81.79,12595736.0,XOM,IEX,Coordination
2018-05-16,46.8,46.82,46.43,46.71,4866500.0,BP,Yahoo!,Coordination
2018-05-16,46.8,46.82,46.43,46.71,4866498.0,BP,IEX,Coordination
2018-05-16,247.78,248.72,246.54,247.12,1101200.0,FDX,Yahoo!,Coordination
2018-05-16,247.1271,248.0627,245.8904,246.4688,1101189.0,FDX,IEX,Coordination
2018-05-16,54.17,54.7,53.96,54.64,16260500.0,INTC,Yahoo!,Coordination
2018-05-16,54.17,54.7,53.955,54.64,16260459.0,INTC,IEX,Coordination
2018-05-16,97.36,97.4,96.62,97.15,17384700.0,MSFT,Yahoo!,Coordination
2018-05-16,97.36,97.4,96.615,97.15,17384742.0,MSFT,IEX,Coordination
2018-05-16,46.93,46.93,46.45,46.73,9874200.0,ORCL,Yahoo!,Coordination
2018-05-16,46.93,46.93,46.45,46.73,9874195.0,ORCL,IEX,Coordination
2018-05-16,115.54,116.67,115.53,116.32,1970000.0,UPS,Yahoo!,Coordination
2018-05-16,114.6382,115.7544,114.6283,115.4121,1970011.0,UPS,IEX,Coordination
